,coarsening_factor,N_dof_coarsest / N_dof,Ref[max_strength],cpu_time,datetime,degrees_of_freedom,error_code,failure_mode,job_dir,max_strength,modulus_10_50,modulus_e005_e025,strain_history[0],strain_history[1],strain_history[2],strain_history[3],strain_history[4],strain_history[5],strain_history[6],strain_history[7],strain_history[8],strain_history[9],strain_history[10],strain_history[11],strain_history[12],strain_history[13],strain_history[14],strain_history[15],strain_history[16],strain_history[17],strain_history[18],strain_history[19],strain_history[20],strain_history[21],strain_history[22],strain_history[23],strain_history[24],strain_history[25],strain_history[26],strain_history[27],strain_history[28],strain_history[29],strain_history[30],strain_history[31],strain_history[32],strain_history[33],strain_history[34],strain_history[35],strain_history[36],strain_history[37],strain_history[38],strain_history[39],strain_history[40],strain_history[41],strain_history[42],strain_history[43],strain_history[44],strain_history[45],strain_history[46],strain_history[47],strain_history[48],strain_history[49],strain_history[50],strain_history[51],strain_history[52],strain_history[53],strain_history[54],strain_history[55],strain_history[56],strain_history[57],strain_history[58],strain_history[59],strain_history[60],strain_history[61],strain_history[62],strain_history[63],strain_history[64],strain_history[65],strain_history[66],strain_history[67],strain_history[68],strain_history[69],strain_history[70],strain_history[71],strain_history[72],strain_history[73],strain_history[74],strain_history[75],strain_history[76],strain_history[77],strain_history[78],strain_history[79],strain_history[80],strain_history[81],strain_history[82],strain_history[83],strain_history[84],strain_history[85],strain_history[86],strain_history[87],strain_history[88],strain_history[89],strain_history[90],strain_history[91],strain_history[92],strain_history[93],strain_history[94],strain_history[95],strain_history[96],strain_history[97],strain_history[98],strain_history[99],stress_history[0],stress_history[1],stress_history[2],stress_history[3],stress_history[4],stress_history[5],stress_history[6],stress_history[7],stress_history[8],stress_history[9],stress_history[10],stress_history[11],stress_history[12],stress_history[13],stress_history[14],stress_history[15],stress_history[16],stress_history[17],stress_history[18],stress_history[19],stress_history[20],stress_history[21],stress_history[22],stress_history[23],stress_history[24],stress_history[25],stress_history[26],stress_history[27],stress_history[28],stress_history[29],stress_history[30],stress_history[31],stress_history[32],stress_history[33],stress_history[34],stress_history[35],stress_history[36],stress_history[37],stress_history[38],stress_history[39],stress_history[40],stress_history[41],stress_history[42],stress_history[43],stress_history[44],stress_history[45],stress_history[46],stress_history[47],stress_history[48],stress_history[49],stress_history[50],stress_history[51],stress_history[52],stress_history[53],stress_history[54],stress_history[55],stress_history[56],stress_history[57],stress_history[58],stress_history[59],stress_history[60],stress_history[61],stress_history[62],stress_history[63],stress_history[64],stress_history[65],stress_history[66],stress_history[67],stress_history[68],stress_history[69],stress_history[70],stress_history[71],stress_history[72],stress_history[73],stress_history[74],stress_history[75],stress_history[76],stress_history[77],stress_history[78],stress_history[79],stress_history[80],stress_history[81],stress_history[82],stress_history[83],stress_history[84],stress_history[85],stress_history[86],stress_history[87],stress_history[88],stress_history[89],stress_history[90],stress_history[91],stress_history[92],stress_history[93],stress_history[94],stress_history[95],stress_history[96],stress_history[97],stress_history[98],stress_history[99]
0,1.2,1,761.6856585358728,285.367883058032,"⚠️ 2024-10-21 18:38:22.222167
",55258,0,"⚠️ fibre_failure_tension
","⚠️ /home/sebastien.bocquet/PycharmProjects/vims_composites_only/docs/examples/solution_verification/OpfmPlate_PST/CodeConvergenceVerification/runs/1
",763.1295884174912,56929.094825767126,55802.50703942393,0,0.00007669405586745959,0.00015338811173491918,0.00023008216760237875,0.00030674880622828533,0.0003833002924396692,0.000459851778651053,0.0005364032648624369,0.0006275767137593763,0.0007421453029532046,0.000856713892147033,0.0009712824813408611,0.0011076180962952575,0.0012599161968074042,0.0014122142973195507,0.001564512397831697,0.0017164308060746516,0.0018682353066368487,0.0020200398071990454,0.0021718443077612423,0.00232321380342748,0.0024745658988978786,0.002625917994368278,0.002777207493479091,0.0029281527126121818,0.0030790979317452723,0.0032300431508783633,0.003380864918046295,0.0035314534981689266,0.0036820420782915577,0.003832630658414189,0.0039830678153220936,0.004133375180903088,0.004283682546484083,0.004433989912065079,0.004584150768976175,0.004734257649008886,0.004884364529041598,0.0050344714090743104,0.005184572848198174,0.005334673833912967,0.00548477481962776,0.005634926744839136,0.005785469206190984,0.005936011667542833,0.0060865541288946815,0.006237121211458187,0.00638774369174792,0.006538366172037652,0.006688988652327385,0.006839982052748359,0.006991346373300577,0.007142710693852793,0.007294075014405009,0.007446189950605272,0.0075986384937602215,0.007751087036915172,0.00790353558007012,0.008056201248339433,0.008208895237275839,0.008361589226212243,0.00851432765355842,0.00866759934182187,0.00882087103008532,0.008974142718348769,0.009128196374242328,0.009284372513703334,0.009440548653164339,0.009596724792625345,0.009752844456209319,0.009908898231270093,0.010064952006330865,0.010221005781391635,0.010376883638189692,0.010532668361789838,0.010688453085389987,0.010844237808990133,0.010999869258644168,0.011155472840308002,0.011311076421971834,0.011466673272459264,0.01162210184353659,0.011777530414613921,0.011932958985691248,0.012088349921558925,0.012243615406727764,0.012398880891896601,0.01255414637706544,0.01270934687969289,0.0128644587697639,0.01301957065983491,0.01317468254990592,0.013329704889465778,0.013484671259956168,0.013639637630446557,0.013794604000936945,0.013821072419859606,0.013816946088408999,0.01381281975695839,0.013808693425507784,0,4.19463096678759,8.38926193357518,12.58389290036277,16.780367249469165,20.984583804314553,25.188800359159934,29.393016914005322,34.41242407922672,40.73613622104972,47.05984836287273,53.38356050469573,60.94126348755565,69.40389308717599,77.86652268679632,86.32915228641664,94.81736368336928,103.31324961952161,111.80913555567392,120.30502149182627,128.8303447369345,137.35684547440098,145.8833462118675,154.4141149638517,162.96835779568332,171.52260062751495,180.0768434593466,188.63955249308418,197.218253241533,205.79695398998177,214.3756547384306,222.96378063537222,231.55998523102193,240.15618982667164,248.75239442232137,257.3557373682455,265.9617102326918,274.5676830971381,283.1736559615844,291.78165645778023,300.3898259232885,308.9979953887968,317.60553972293303,326.2082913832174,334.81104304350174,343.4137947037861,352.015043579925,360.6129111917367,369.21077880354835,377.80864641536004,386.38398275464976,394.9367878214175,403.4895928881852,412.0423979549529,420.5433974984007,429.02137236481735,437.4993472312341,445.97732209765076,454.4406834310138,462.90213865136985,471.36359387172587,479.8223763193934,488.2490854947977,496.67579467020215,505.1025038456064,513.4835426421284,521.7406189816843,529.9976953212399,538.2547716607958,546.5155688649015,554.7807070776489,563.0458452903963,571.3109835031437,579.5866062613718,587.867779661325,596.1489530612782,604.4301264612315,612.7208865044706,621.013389573762,629.3058926430532,637.5988180227254,645.9023011619194,654.2057843011136,662.5092674403076,670.8151241805573,679.1288929243262,687.4426616680952,695.7564304118641,704.0743132401894,712.3978061838191,720.7212991274484,729.044792071078,737.3739400656036,745.7066224669393,754.039304868275,762.3719872696107,763.7952181799695,763.5733415924767,763.351465004984,763.1295884174912
1,1,0.7103118492428722,761.6856585358728,759.5471660362091,"⚠️ 2024-10-21 18:38:22.222167
",77794,0,"⚠️ fibre_failure_tension
","⚠️ /home/sebastien.bocquet/PycharmProjects/vims_composites_only/docs/examples/solution_verification/OpfmPlate_PST/CodeConvergenceVerification/runs/2
",762.6019229390628,56677.925161259074,55615.91840690814,0,0.00007664549933636365,0.0001532909986727273,0.00022993649800909092,0.0003065767744221414,0.0003830917006756768,0.0004596066269292121,0.0005361215531827475,0.0006156781453470759,0.0007302138954855227,0.0008447496456239699,0.0009592853957624168,0.0010783521670881214,0.0012306464271203816,0.0013829406871526417,0.0015352349471849016,0.001687457282486606,0.001839302012952894,0.0019911467434191813,0.0021429914738854694,0.0022947542334344974,0.0024461891093144846,0.0025976239851944723,0.00274905886107446,0.002900405963688917,0.0030514751176291943,0.003202544271569472,0.00335361342550975,0.0035045937462251844,0.003655345638648164,0.003806097531071144,0.0039568494234941244,0.004107527419690518,0.004258048386405418,0.004408569353120316,0.004559090319835216,0.004709608700975159,0.004860122485537406,0.005010636270099654,0.0051611500546619015,0.005311841206299528,0.005462798408550223,0.005613755610800917,0.005764712813051611,0.005915679510045,0.0060666582912563645,0.006217637072467729,0.006368615853679092,0.0065196554268497275,0.0066707608579762425,0.006821866289102758,0.0069729717202292735,0.0071247533968456876,0.007277159300068161,0.007429565203290637,0.007581971106513111,0.007734619795647077,0.00788745924514007,0.00804029869463306,0.008193138144126054,0.008346128583424083,0.00849921968259214,0.008652310781760195,0.008805401880928251,0.008959883090279376,0.009115146236608479,0.009270409382937585,0.009425672529266687,0.009581471339304589,0.009737522226381926,0.009893573113459262,0.010049624000536597,0.010205528933798204,0.010361377107242588,0.010517225280686968,0.01067307345413135,0.01082878274230414,0.01098444817197011,0.011140113601636083,0.011295779031302055,0.011451321347690401,0.011606832885759342,0.011762344423828282,0.011917855961897223,0.012073246075781313,0.012228613061249241,0.01238398004671717,0.0125393470321851,0.01269459496251725,0.01284982665805816,0.013005058353599068,0.013160290049139977,0.013315405314112889,0.013470510454688583,0.01362561559526428,0.013780720735839974,0.01380840096337359,0.013830771819530453,0.013853142675687314,0.013875513531844177,0,4.175749066347513,8.351498132695026,12.527247199042538,16.703424668847468,20.889883821630402,25.076342974413336,29.262802127196274,33.61827247089362,39.91737151010675,46.21647054931989,52.51556958853301,59.070781363531054,67.50415320095178,75.9375250383725,84.37089687579319,92.81018904895834,101.2805629847816,109.75093692060484,118.22131085642812,126.69847502563574,135.2028001283808,143.70712523112587,152.21145033387094,160.72310433583314,169.25796651864968,177.79282870146622,186.32769088428276,194.86997632864234,203.4313501598267,211.99272399101113,220.5540978221956,229.12051093235584,237.6976325103397,246.2747540883236,254.85187566630748,263.4310504635115,272.0138754282181,280.5967003929248,289.1795253576314,297.7606853946043,306.3393480399767,314.918010685349,323.49667333072136,332.0753602926713,340.6540782029926,349.23279611331395,357.8115140236353,366.3863802519838,374.9570738248617,383.5277673977397,392.0984609706177,400.61802099476347,409.09038082007964,417.56274064539593,426.0351004707121,434.48730522255744,442.9236738452469,451.3600424679364,459.796411090626,468.2196528885197,476.634143469883,485.04863405124615,493.46312463260944,501.7828759123635,510.0493363349625,518.3157967575615,526.5822571801606,534.8093655244891,543.017955243749,551.226544963009,559.435134682269,567.6548218151676,575.8788246089257,584.1028274026837,592.3268301964417,600.561551488911,608.799657570447,617.0377636519831,625.2758697335191,633.5237291082619,641.7740268063063,650.0243245043508,658.2746222023953,666.534611467686,674.7964467457856,683.0582820238852,691.3201173019849,699.5914788113607,707.8641393522745,716.1367998931881,724.4094604341018,732.6914543514206,740.9742598666877,749.2570653819548,757.5398708972218,759.0180291351004,760.2126604030879,761.4072916710753,762.6019229390628
2,0.8333333333333334,0.49629962277707923,761.6856585358728,1488.4622792392038,"⚠️ 2024-10-21 18:38:22.222167
",111340,0,"⚠️ fibre_failure_tension
","⚠️ /home/sebastien.bocquet/PycharmProjects/vims_composites_only/docs/examples/solution_verification/OpfmPlate_PST/CodeConvergenceVerification/runs/3
",761.8616393939587,56420.95240957876,55451.36799346861,0,0.00007655057459678789,0.00015310114919357578,0.00022965172379036365,0.00030620229838715157,0.0003826494571009622,0.0004590818421172046,0.0005355142271334471,0.0006119466121496894,0.0007168806829405227,0.0008313153156562198,0.0009457499483719168,0.0010601845810876136,0.0011982229587965305,0.001350423583501379,0.0015026242082062274,0.001654824832911076,0.001806823432296652,0.0019586200063629548,0.002110416580429258,0.002262213154495561,0.002413872526429682,0.0025653032281435003,0.0027167339298573186,0.002868164631571137,0.003019514531829985,0.003170622027723925,0.0033217295236178646,0.0034728370195118044,0.0036239105907611823,0.0037747466894986373,0.003925582788236092,0.004076418886973547,0.004227254985711001,0.004378077783415183,0.004528900581119365,0.004679723378823546,0.004830546176527727,0.004981747403613447,0.005133002692039387,0.005284257980465327,0.005435513268891266,0.005586784681292432,0.005738061468352007,0.005889338255411583,0.0060406150424711594,0.006191926285252819,0.006343258201467728,0.006494590117682637,0.006645922033897546,0.006797532794111334,0.006949422398324002,0.007101312002536668,0.007253201606749335,0.007405486736291684,0.007558431074716835,0.007711375413141987,0.007864319751567138,0.00801730755752103,0.008170425766061152,0.008323543974601274,0.008476662183141396,0.008629911814040084,0.008784081401448752,0.008938250988857418,0.009092420576266084,0.009246590163674752,0.009402543436901417,0.009558496710128086,0.009714449983354752,0.009870403256581419,0.010026253823291744,0.010182089717642593,0.010337925611993442,0.01049376150634429,0.01064945901216332,0.010805110388471744,0.010960761764780167,0.011116413141088593,0.01127198363813891,0.011427505607634367,0.01158302757712982,0.011738549546625277,0.011894009938458882,0.012049408752630638,0.012204807566802396,0.012360206380974152,0.01251556314699141,0.012670849832751168,0.012826136518510927,0.012981423204270684,0.013136684176425,0.013291868007763002,0.013447051839101002,0.013602235670439004,0.013744069779181198,0.013792455829752786,0.013840841880324374,0.01388922793089596,0.013937613981467548,0,4.1558950664132475,8.311790132826495,12.46768519923974,16.62358026565299,20.789870766197694,24.95764632876118,29.12542189132467,33.293197453888155,39.04002224410414,45.31319677687095,51.586371309637755,57.859545842404565,65.46354111155348,73.86602882253167,82.26851653350984,90.67100424448803,99.09391715028534,107.53725525090175,115.9805933515182,124.42393145213462,132.8812640237095,141.36192071354847,149.84257740338745,158.3232340932264,166.81217878438645,175.3259874795098,183.8397961746331,192.35360486975645,200.8708802454555,209.41242238518524,217.95396452491497,226.49550666464472,235.03704880437445,243.58785291378723,252.13865702320004,260.6894611326128,269.2402652420256,277.78866539773884,286.33672213149504,294.8847788652512,303.4328355990074,311.9852321646508,320.5390753409235,329.09291851719615,337.64676169346876,346.1990394749481,354.7503780195514,363.3017165641547,371.85305510875804,380.3822838100198,388.88940266794015,397.39652152586035,405.90364038378056,414.37309168337873,422.77976371910665,431.1864357548347,439.5931077905626,447.99529849377495,456.38404519944066,464.77279190510626,473.16153861077197,481.5399436599928,489.84595711409975,498.1519705682067,506.4579840223136,514.7639974764206,522.9133176138223,531.0626377512241,539.2119578886259,547.3612780260277,555.5217702130564,563.6838584071745,571.8459466012928,580.008034795411,588.1833913726014,596.3631707441489,604.5429501156964,612.722729487244,620.9108382242512,629.1039445805342,637.2970509368171,645.4901572931,653.6896405706367,661.8955007694273,670.1013609682178,678.3072211670084,686.5175249698802,694.7352347795543,702.9529445892283,711.1706543989023,719.3911498968915,727.6200024598263,735.848855022761,744.0777075856959,751.5986713302544,754.1644133461805,756.7301553621065,759.2958973780327,761.8616393939587
3,0.6944444444444444,0.3464538295631238,761.6856585358728,2653.41610170505,"⚠️ 2024-10-21 18:38:22.222167
",159496,0,"⚠️ fibre_failure_tension
","⚠️ /home/sebastien.bocquet/PycharmProjects/vims_composites_only/docs/examples/solution_verification/OpfmPlate_PST/CodeConvergenceVerification/runs/4
",761.7780627265122,56145.0632455391,55303.35189895185,0,0.00007597188674167424,0.00015194377348334848,0.0002279156602250227,0.00030388754696669695,0.0003797867370762096,0.0004556541224091515,0.0005315215077420935,0.0006073888930750353,0.0006980259612308863,0.0008116380915557072,0.0009252502218805279,0.0010388623522053486,0.001155738509591417,0.0013068869511205837,0.00145803539264975,0.0016091838341789168,0.0017603322757080834,0.00191120329924775,0.002061997262234778,0.002212791225221806,0.0023635851882088336,0.002514226821626139,0.0026647022773310207,0.002815177733035902,0.0029656531887407834,0.0031160803559212506,0.0032662781526107505,0.003416475949300251,0.00356667374598975,0.0037168715426792497,0.0038669704753035985,0.0040170545783181745,0.0041671386813327506,0.004317222784347327,0.004467559175238225,0.004618089633726296,0.004768620092214367,0.004919150550702437,0.005069707866551357,0.005220341278256014,0.005370974689960671,0.005521608101665326,0.0056722415133699826,0.005822891855289418,0.005973542966764069,0.006124194078238721,0.006274845189713373,0.006425593496535448,0.006576393640876151,0.006727193785216853,0.006877993929557555,0.007029127520428519,0.007180886323543726,0.007332645126658933,0.007484403929774139,0.007636182876991147,0.007788404994447766,0.007940627111904384,0.008092849229361003,0.008245071346817621,0.008397528095420688,0.008550067655016617,0.008702607214612548,0.008855146774208475,0.009008502577088394,0.009162919496237501,0.009317336415386606,0.009471753334535715,0.009626225505310705,0.009781066020258276,0.009935906535205843,0.010090747050153412,0.01024558756510098,0.01040030674850569,0.010555000388427693,0.010709694028349695,0.010864387668271696,0.011019022097911578,0.011173602251459514,0.01132818240500745,0.011482762558555386,0.011637321810499967,0.011791805816672453,0.01194628982284494,0.012100773829017428,0.012255257835189916,0.012409667881255214,0.01256407088350078,0.012718473885746347,0.012872876887991911,0.013027230626256941,0.013181552694820199,0.013335874763383455,0.013490196831946712,0.013626808877937522,0.013722940872334164,0.013819072866730809,0.013915204861127453,0.014011336855524095,0,4.111430789316158,8.222861578632315,12.334292367948471,16.44572315726463,20.566158126331768,24.69053242403995,28.814906721748144,32.93928101945633,37.87976141813609,44.08974019610497,50.29971897407384,56.50969775204271,62.90328899040034,71.2248110628398,79.54633313527926,87.86785520771872,96.18937728015818,104.54557929690449,112.91141463151385,121.2772499661232,129.64308530073254,138.02813918150812,146.43415874901058,154.84017831651298,163.24619788401543,171.65838220412095,180.0998490990913,188.54131599406162,196.9827828890319,205.42424978400223,213.8855839756894,222.3498982618841,230.8142125480788,239.27852683427352,247.74253135091573,256.20629758328676,264.67006381565784,273.1338300480289,281.59974588026375,290.07175224544596,298.5437586106282,307.01576497581027,315.4877713409925,323.9629565450194,332.438286241721,340.9136159384227,349.38894563512434,357.8577092042631,366.3229708387017,374.7882324731403,383.25349410757894,391.6857799662907,400.0562362455145,408.4266925247384,416.7971488039623,425.16511373668277,433.47826904632814,441.7914243559735,450.1045796656189,458.4177349752643,466.7069360851614,474.98768277161776,483.2684294580742,491.5491761445306,499.7507458096651,507.84938534708124,515.9480248844973,524.0466644219134,532.1389965503413,540.1892792855148,548.2395620206881,556.2898447558615,564.340127491035,572.405535547385,580.4741278818776,588.5427202163702,596.6113125508626,604.688044507858,612.7722377854807,620.8564310631034,628.9406243407261,637.0278014235708,645.1257202052145,653.2236389868582,661.321557768502,669.4194765501458,677.5292013375476,685.6400505064504,693.7508996753531,701.8617488442558,709.9798192410062,718.1025318556589,726.2252444703115,734.3479570849642,741.5385060428288,746.5983952137497,751.6582843846705,756.7181735555913,761.7780627265122
